sf_state,sf_county
MA,middlesex
MA,barnstable
MA,suffolk
MA,dukes
MD,frederick
MD,washington
MD,charles
MD,queen anne's
MD,anne arundel
MD,prince george's
MD,wicomico
MD,somerset
MD,worcester
MD,kent
MD,cecil
MD,baltimore
MD,talbot
MD,garrett
MD,dorchester
MD,harford
MD,montgomery
MD,carroll
MD,howard
MD,caroline
MD,allegany
MI,lapeer
MI,eaton
MI,branch
MI,berrien
MI,st. clair
MI,kalamazoo
MI,ottawa
MI,wayne
MI,clinton
MI,monroe
MI,chippewa
MI,genesee
MI,saginaw
MI,lenawee
MI,montcalm
MI,hillsdale
MI,leelanau
MI,allegan
MI,delta
MI,st. joseph
MI,muskegon
MI,calhoun
MI,ingham
MI,shiawassee
MI,oscoda
MI,gladwin
MI,washtenaw
MI,missaukee
MI,kent
MN,renville
MO,christian
MO,jackson
MO,greene
MO,bates
MO,macon
MO,grundy
MO,phelps
MO,pulaski
MO,saline
MO,laclede
MO,livingston
MO,lafayette
MO,st. francois
MO,cedar
MO,st. charles
MO,jasper
MO,boone
MO,montgomery
MO,howell
MO,cape girardeau
MO,st. louis
MS,lauderdale
MS,chickasaw
MS,harrison
MS,leake
MS,sunflower
MS,lamar
MS,rankin
MS,desoto
MS,clarke
MS,carroll
MS,marshall
MS,forrest
MT,cascade
MT,sweet grass
MT,big horn
MT,lewis and clark
MT,golden valley
MT,yellowstone
MT,beaverhead
NC,warren
NC,edgecombe
NC,wayne
NC,person
NC,duplin
NC,wilson
NC,caswell
NC,greene
NC,nash
NC,montgomery
NC,richmond
NC,scotland
NC,robeson
NC,beaufort
NC,alexander
NC,columbus
NC,wake
NC,johnston
NC,granville
NC,moore
NC,cleveland
NC,catawba
NC,northampton
NC,franklin
NC,martin
NC,onslow
NC,rockingham
NC,cherokee
NC,alamance
NC,lincoln
NC,lenoir
NC,rowan
NC,hoke
NC,union
NC,lee
NC,durham
NC,forsyth
NC,gaston
NC,buncombe
NC,halifax
NC,washington
NC,currituck
NC,bladen
NC,new hanover
NC,davie
NC,gates
NC,rutherford
NC,guilford
NC,pitt
NC,vance
NC,burke
NC,chatham
NC,sampson
NC,cumberland
NC,bertie
NC,hertford
NC,harnett
NC,perquimans
NC,pender
NC,craven
NC,randolph
NC,yadkin
NC,orange
NC,jones
NC,haywood
NC,henderson
NC,anson
NC,pasquotank
NC,cabarrus
NC,iredell
NC,pamlico
NC,chowan
NC,camden
NC,stokes
NC,surry
NC,brunswick
NC,stanly
NC,hyde
NC,madison
NC,caldwell
NC,mecklenburg
NE,buffalo
NE,dodge
NE,lancaster
NE,dawson
NE,dakota
NE,adams
NE,washington
NE,scotts bluff
NE,saunders
NE,madison
NJ,hunterdon
NJ,monmouth
NJ,cumberland
NJ,warren
NJ,hudson
NJ,somerset
NJ,union
NJ,gloucester
NJ,middlesex
NJ,burlington
NJ,mercer
NJ,morris
NJ,ocean
NJ,salem
NJ,atlantic
NJ,bergen
NJ,cape may
NJ,sussex
NJ,camden
NJ,essex
NJ,passaic
NM,otero
NM,mckinley
NM,torrance
NM,valencia
NM,dona ana
NM,colfax
NM,luna
NM,sandoval
NM,cibola
NM,lea
NM,bernalillo
NM,santa fe
NM,chaves
NM,quay
NM,eddy
NM,san miguel
NM,taos
NM,los alamos
NM,grant
NM,sierra
NM,lincoln
NM,rio arriba
NM,curry
NV,clark
NV,churchill
NV,nye
NV,washoe
NV,mineral
NV,storey
NV,lyon
NV,humboldt
NY,suffolk
NY,monroe
NY,tompkins
NY,saratoga
NY,tioga
NY,albany
NY,wayne
NY,st. lawrence
NY,erie
NY,dutchess
NY,rockland
NY,onondaga
NY,oneida
NY,ontario
NY,orange
NY,allegany
NY,oswego
NY,greene
NY,sullivan
NY,jefferson
NY,steuben
NY,nassau
NY,wyoming
NY,genesee
NY,madison
NY,washington
NY,fulton
NY,schenectady
NY,cattaraugus
NY,schoharie
NY,montgomery
NY,chemung
NY,yates
NY,clinton
NY,richmond
NY,ulster
NY,franklin
NY,niagara
NY,rensselaer
NY,orleans
NY,lewis
NY,broome
NY,westchester
NY,livingston
NY,schuyler
NY,cortland
NY,chautauqua
NY,chenango
NY,otsego
NY,columbia
NY,cayuga
NY,warren
NY,queens
NY,herkimer
NY,seneca
NY,delaware
OH,wyandot
OH,henry
OH,wood
OH,medina
OH,williams
OH,montgomery
OH,lorain
OH,greene
OH,mercer
OH,paulding
OH,cuyahoga
OH,lucas
OH,trumbull
OH,hardin
OH,sandusky
OH,wayne
OH,darke
OH,shelby
OH,licking
OH,miami
OH,stark
OH,brown
OH,huron
OH,richland
OH,ross
OH,clark
OH,hamilton
OH,madison
OH,highland
OH,auglaize
OH,fulton
OH,summit
OH,putnam
OH,hancock
OK,caddo
OK,garfield
OK,canadian
OK,love
OK,grady
OK,bryan
OK,murray
OK,cleveland
OK,kiowa
OR,malheur
OR,lake
OR,deschutes
OR,crook
OR,jackson
OR,klamath
OR,jefferson
OR,sherman
OR,umatilla
OR,yamhill
OR,clackamas
OR,benton
OR,polk
OR,marion
OR,baker
OR,washington
OR,harney
OR,morrow
OR,gilliam
OR,multnomah
PA,franklin
PA,carbon
PA,lancaster
PA,berks
PA,northampton
PA,cumberland
PA,chester
PA,schuylkill
PA,bucks
PA,monroe
PA,lehigh
PA,beaver
PA,snyder
PA,centre
PA,westmoreland
PA,allegheny
PA,lebanon
PA,clearfield
PA,union
PA,york
PA,luzerne
PA,montgomery
PA,philadelphia
PA,juniata
PA,adams
PA,tioga
RI,providence
RI,kent
RI,washington
RI,new london
RI,bristol
RI,newport
SC,williamsburg
SC,saluda
SC,darlington
SC,jasper
SC,calhoun
SC,lexington
SC,aiken
SC,hampton
SC,barnwell
SC,allendale
SC,orangeburg
SC,beaufort
SC,colleton
SC,dillon
SC,clarendon
SC,anderson
SC,florence
SC,marion
SC,lee
SC,spartanburg
SC,bamberg
SC,horry
SC,cherokee
SC,lancaster
SC,berkeley
SC,greenville
SC,greenwood
SC,chesterfield
SC,marlboro
SC,newberry
SC,richland
SC,union
TN,fayette
TN,hamilton
TN,mcnairy
TN,madison
TN,shelby
TN,hardeman
TN,haywood
TN,washington
TN,davidson
TN,lincoln
TN,greene
TN,henry
TN,obion
TN,bedford
TN,montgomery
TN,jefferson
TX,bosque
TX,menard
TX,bexar
TX,presidio
TX,kinney
TX,el paso
TX,uvalde
TX,haskell
TX,pecos
TX,coryell
TX,falls
TX,hunt
TX,grayson
TX,cooke
TX,mclennan
TX,austin
TX,lamar
TX,brewster
TX,dawson
TX,fannin
TX,sterling
TX,wharton
TX,webb
TX,andrews
TX,upton
TX,winkler
TX,travis
TX,denton
TX,real
TX,nolan
TX,tom green
TX,childress
TX,ector
TX,brazoria
TX,crane
TX,navarro
TX,kaufman
TX,karnes
TX,brooks
TX,erath
TX,van zandt
TX,culberson
TX,ellis
TX,jones
TX,frio
TX,wilson
TX,fort bend
TX,grimes
TX,brown
TX,hill
TX,cameron
TX,upshur
TX,red river
TX,dallas
TX,collin
TX,concho
TX,live oak
TX,borden
TX,guadalupe
TX,dimmit
TX,kent
TX,hamilton
TX,bell
TX,polk
TX,lubbock
TX,jackson
TX,bee
TX,swisher
TX,scurry
TX,limestone
TX,calhoun
TX,howard
VA,westmoreland
VA,isle of wight
VA,louisa
VA,buckingham
VA,sussex
VA,new kent
VA,virginia beach
VA,powhatan
VA,pittsylvania
VA,king william
VA,accomack
VA,clarke
VA,fauquier
VA,northampton
VA,essex
VA,middlesex
VA,surry
VA,gloucester
VA,rockingham
VA,chesterfield
VA,warren
VA,fluvanna
VA,goochland
VA,spotsylvania
VA,lancaster
VA,mecklenburg
VA,charlotte
VA,appomattox
VA,chesapeake
VA,prince george
VA,halifax
VA,greensville
VA,suffolk
VA,campbell
VA,hanover
VA,henry
VA,henrico
VA,james city
VA,southampton
VA,bedford
VA,charles city
VA,prince william
VA,richmond
VA,amherst
VA,frederick
VA,shenandoah
VA,augusta
VA,norfolk
VA,wythe
VT,windsor
VT,addison
VT,windham
VT,rutland
VT,chittenden
VT,franklin
VT,bennington
VT,orange
VT,orleans
VT,grand isle
VT,lamoille
VT,essex
VT,caledonia
VT,washington
WA,adams
WA,benton
WA,kittitas
WA,klickitat
WI,trempealeau
WI,barron
WI,jackson
WI,dane
WI,manitowoc
WI,rock
WI,iowa
WI,juneau
WI,price
WI,polk
WI,chippewa
WI,taylor
WI,dunn
WI,vernon
WI,st. croix
WI,rusk
WI,jefferson
WI,monroe
WI,grant
WI,richland
WI,wood
WI,buffalo
WI,sheboygan
WI,oneida
WI,clark
WI,pierce
WI,waukesha
WI,milwaukee
WI,racine
WI,washington
WI,kenosha
WI,washburn
WI,dodge
WI,green
WI,waushara
WI,fond du lac
WV,jefferson
WV,monongalia
WY,sweetwater
WY,laramie
SD,hughes
SD,fall river
SD,pennington
NH,hillsborough
UT,iron
UT,millard
UT,beaver
UT,davis
UT,rich
UT,washington
UT,emery
UT,uintah
UT,sevier
UT,carbon
UT,san juan
UT,box elder
UT,salt lake
UT,juab
UT,tooele
UT,utah
UT,sanpete
MN,wright
MN,dakota
MN,isanti
MN,winona
MN,sherburne
MN,hennepin
MN,goodhue
MN,yellow medicine
MN,carver
MN,rice
MN,waseca
MN,stearns
MN,blue earth
MN,dodge
MN,chisago
MN,pope
MN,washington
MN,benton
MN,mcleod
MN,freeborn
MN,kandiyohi
MN,murray
MN,scott
MN,le sueur
MN,olmsted
MN,wabasha
MN,douglas
MN,steele
MN,faribault
MN,pipestone
MN,nicollet
MN,sibley
MN,anoka
MN,meeker
MN,lyon
MN,morrison
MN,chippewa
MN,redwood
MN,clay
MN,red lake
MN,fillmore
MN,cass
MN,otter tail
MN,itasca
MN,pine
MN,carlton
MN,crow wing
MN,st. louis
ME,kennebec
ME,somerset
ME,york
ME,piscataquis
ME,oxford
ME,franklin
ME,cumberland
ME,penobscot
ME,aroostook
ME,knox
ME,hancock
ME,waldo
ME,androscoggin
ME,lincoln
ME,sagadahoc
HI,kauai
HI,honolulu
HI,maui
HI,hawaii
CO,rio blanco
IA,webster
IA,poweshiek
IL,adams
NV,eureka
PA,fulton
VA,wise
ID,ada
ID,elmore
ID,owyhee
ID,power
ID,twin falls
TX,plymouth
